City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
238,Kichmengskiy Gorodok,RU,59.9816,45.7854,-12.21,100,93,2.98,overcast clouds,2023-01-07 19:41:21
239,Burnie,AU,-41.0667,145.9167,58.21,88,97,8.95,overcast clouds,2023-01-07 19:41:22
240,Husavik,IS,66.0449,-17.3389,32.99,89,100,7.65,overcast clouds,2023-01-07 19:41:22
241,Deputatskiy,RU,69.3,139.9,-28.23,96,100,2.24,overcast clouds,2023-01-07 19:41:23
242,Puerto Baquerizo Moreno,EC,-0.9,-89.6,73.72,83,40,13.42,scattered clouds,2023-01-07 19:41:23
243,Jishou,CN,28.3167,109.7167,49.28,70,0,1.45,clear sky,2023-01-07 19:41:24
244,Broome,US,42.2506,-75.833,38.7,84,100,8.01,overcast clouds,2023-01-07 19:33:08
245,Jesus Carranza,MX,17.4333,-95.0333,81.18,61,18,7.63,few clouds,2023-01-07 19:41:24
246,Mitu,CO,1.1983,-70.1733,80.47,80,73,3.02,broken clouds,2023-01-07 19:41:25
247,Kurilsk,RU,45.2333,147.8833,22.64,79,100,5.12,overcast clouds,2023-01-07 19:41:25
248,Biak,ID,-0.9131,122.8766,78.08,77,100,3.09,light rain,2023-01-07 19:40:47
249,Port Blair,IN,11.6667,92.75,75.24,88,40,2.3,mist,2023-01-07 19:41:26
250,Sibolga,ID,1.7427,98.7792,73.6,89,100,2.93,overcast clouds,2023-01-07 19:41:27
251,Owando,CG,-0.4819,15.8999,78.4,54,100,2.44,overcast clouds,2023-01-07 19:41:27
252,Sambava,MG,-14.2667,50.1667,76.84,86,11,7.07,light rain,2023-01-07 19:33:16
253,Jijiga,ET,9.35,42.8,61.54,68,6,6.69,clear sky,2023-01-07 19:41:28
254,Jaisalmer,IN,26.9147,70.9181,59.31,10,97,9.24,overcast clouds,2023-01-07 19:40:56
255,Olinda,BR,-8.0089,-34.8553,82.13,69,40,10.36,scattered clouds,2023-01-07 19:41:28
256,Tabou,CI,4.423,-7.3528,79.9,80,42,8.37,scattered clouds,2023-01-07 19:41:29
257,Cabo San Lucas,MX,22.8909,-109.9124,81.61,60,6,5.14,clear sky,2023-01-07 19:41:29
258,Murgab,TM,37.4966,61.9714,44.47,61,0,4.61,clear sky,2023-01-07 19:41:29
259,Princeton,US,25.5384,-80.4089,79.0,59,0,12.66,clear sky,2023-01-07 19:40:47
260,Aloleng,PH,16.1307,119.7824,76.01,65,27,15.43,scattered clouds,2023-01-07 19:41:30
